"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"74","2011-03-15/2011-03-18","2011-03-19","ARIMA(3,0,2) with zero mean",0.00408743095190221,0.00419217295092259,0.0031935323865478,0.00328219776967185,0.00458341463449574,0.0099860604243186,0.00152970751251258,0.0017733288838081,8.88178419700125e-16,0.00289315523104236,0.00151911807444922
"75","2011-03-16/2011-03-19","2011-03-20","ARIMA(0,1,5)",0.00432618651415067,0.00442919654807335,0.00341698495949694,0.00351869557347858,0.99937339372714,0.999919410688798,0.58485430665773,0.650199188371444,0,0.000869479665666763,0.00201235423527822
"76","2011-03-17/2011-03-20","2011-03-21","ARIMA(1,0,2) with zero mean",0.00383084733731669,0.00397799049606015,0.00303361833214097,0.00316418527682217,0.999328935953078,0.972833333523157,0.987258435210915,0.965268218598047,8.88178419700125e-14,1.52832756527835e-08,1.63109018177933e-09
"77","2011-03-18/2011-03-21","2011-03-22","ARIMA(0,0,2) with zero mean",0.00384908526717408,0.00391123455351756,0.00302375327728623,0.00306305330308932,0.930346418406369,0.753738063625935,0.814447728605548,0.886170581668215,7.1764990616785e-09,0.0531834381215587,0.00944490003781558
"78","2011-03-19/2011-03-22","2011-03-23","ARIMA(0,0,2) with zero mean",0.00385018744454264,0.00400979618626338,0.00302874857324156,0.00317824565696471,0.918017181025362,0.804833852237841,0.517711764601654,0.633197867818454,1.20277915405254e-08,6.1499158119306e-11,7.82611132119384e-11
"79","2011-03-20/2011-03-23","2011-03-24","ARIMA(2,0,3) with non-zero mean",0.0037130301368773,0.00389103519949393,0.00293604729465767,0.00308599867556355,0.0501577151024252,0.0770757708685008,0.065768169638073,0.0406240990779935,4.01227358116651e-05,1.14301230264975e-08,3.01585670021369e-09
"80","2011-03-21/2011-03-24","2011-03-25","ARIMA(3,0,2) with zero mean",0.00376456971739786,0.0039986938010919,0.00296824352059034,0.00316124562778225,0.645244281651937,0.690116658103972,0.735472191114022,0.70564996023945,8.09953472402647e-07,2.76899721014183e-11,4.99778753450567e-14
"81","2011-03-22/2011-03-25","2011-03-26","ARIMA(3,0,2) with zero mean",0.00429698998034624,0.00441805143605489,0.00335258324645356,0.0034864278474298,0.819839032172399,0.833642447610925,0.861806231840365,0.863334767548174,1.7670309659934e-12,2.20621523626705e-05,0.000412282103963381
"82","2011-03-23/2011-03-26","2011-03-27","ARIMA(3,0,2) with zero mean",0.00435520987429576,0.00443885178285728,0.00345045077926834,0.00350329028080395,0.957050902336669,0.97250456640693,0.796349988314413,0.835986140876546,0,0.0600747565007041,0.00943556094834167
"83","2011-03-24/2011-03-27","2011-03-28","ARIMA(3,0,2) with zero mean",0.00447573088618808,0.00458824047713326,0.00315771783116671,0.00327866930691942,0.607385886010207,0.676132803573163,0.787041034045831,0.867376520195829,0,3.12292531364722e-05,0.00842483378729277
